Txn Date,Description,Ref No/Cheque No,Debit,Credit,Balance
01-01-2024,BY TRANSFER-SALARY CREDIT JAN 2024,-,NIL,48500.00,133500.00
02-01-2024,TO TRANSFER-SWIGGY INDIA PVT LTD,1234567890,350.00,NIL,133150.00
04-01-2024,TO TRANSFER-RELIANCE FRESH STORE,1234567891,780.00,NIL,132370.00
06-01-2024,TO TRANSFER-SBI HOME LOAN EMI,1234567892,12000.00,NIL,120370.00
08-01-2024,TO TRANSFER-ZOMATO LTD,1234567893,420.00,NIL,119950.00
10-01-2024,TO TRANSFER-AIRTEL DIGITAL TV,1234567894,499.00,NIL,119451.00
12-01-2024,ATM-SBI CASH WITHDRAWAL,ATM001,4000.00,NIL,115451.00
15-01-2024,TO TRANSFER-NETFLIX INDIA,1234567895,649.00,NIL,114802.00
18-01-2024,TO TRANSFER-APOLLO PHARMACY,1234567896,560.00,NIL,114242.00
20-01-2024,TO TRANSFER-RENT PAYMENT JANUARY,1234567897,15000.00,NIL,99242.00
22-01-2024,TO TRANSFER-OLA CAB SERVICES,1234567898,200.00,NIL,99042.00
25-01-2024,TO TRANSFER-FLIPKART INTERNET,1234567899,3500.00,NIL,95542.00
28-01-2024,TO TRANSFER-MAHANAGAR GAS BILL,1234567900,850.00,NIL,94692.00
30-01-2024,TO TRANSFER-SBI MUTUAL FUND SIP,1234567901,3000.00,NIL,91692.00
01-02-2024,BY TRANSFER-SALARY CREDIT FEB 2024,-,NIL,48500.00,140192.00
03-02-2024,TO TRANSFER-SWIGGY FOOD DELIVERY,1234567902,480.00,NIL,139712.00
05-02-2024,TO TRANSFER-DMART AVENUE STORES,1234567903,2500.00,NIL,137212.00
08-02-2024,TO TRANSFER-ZOMATO FOOD ORDER,1234567904,310.00,NIL,136902.00
10-02-2024,TO TRANSFER-LIC PREMIUM PAYMENT,1234567905,6500.00,NIL,130402.00
12-02-2024,ATM-SBI ATM CASH WITHDRAWAL,ATM002,5000.00,NIL,125402.00
15-02-2024,TO TRANSFER-JIO RECHARGE,1234567906,299.00,NIL,125103.00
18-02-2024,TO TRANSFER-IRCTC E-TICKET,1234567907,980.00,NIL,124123.00
20-02-2024,TO TRANSFER-AMAZON INDIA,1234567908,1299.00,NIL,122824.00
22-02-2024,TO TRANSFER-UBER INDIA,1234567909,150.00,NIL,122674.00
25-02-2024,BY TRANSFER-CASHBACK CREDIT,-,NIL,200.00,122874.00
28-02-2024,TO TRANSFER-ELECTRICITY BSES,1234567910,1200.00,NIL,121674.00
01-03-2024,BY TRANSFER-SALARY CREDIT MAR 2024,-,NIL,48500.00,170174.00
04-03-2024,TO TRANSFER-SWIGGY ORDER,1234567911,590.00,NIL,169584.00
06-03-2024,TO TRANSFER-BIG BAZAAR FUTURE RETAIL,1234567912,1800.00,NIL,167784.00
08-03-2024,TO TRANSFER-AMAZON PRIME ANNUAL,1234567913,1499.00,NIL,166285.00
10-03-2024,TO TRANSFER-SBI HOME LOAN EMI,1234567914,12000.00,NIL,154285.00
12-03-2024,TO TRANSFER-MEDPLUS PHARMACY,1234567915,340.00,NIL,153945.00
15-03-2024,TO TRANSFER-NETFLIX INDIA,1234567916,649.00,NIL,153296.00
18-03-2024,ATM-CASH WITHDRAWAL SBI ATM,ATM003,3000.00,NIL,150296.00
20-03-2024,TO TRANSFER-RENT MARCH 2024,1234567917,15000.00,NIL,135296.00
22-03-2024,TO TRANSFER-PAYTM MONEY SIP,1234567918,5000.00,NIL,130296.00
25-03-2024,TO TRANSFER-MYNTRA FASHIONS,1234567919,2200.00,NIL,128096.00
28-03-2024,TO TRANSFER-AIRTEL BROADBAND,1234567920,749.00,NIL,127347.00
30-03-2024,TO TRANSFER-ZOMATO ORDER,1234567921,280.00,NIL,127067.00
01-04-2024,BY TRANSFER-SALARY CREDIT APR 2024,-,NIL,48500.00,175567.00
03-04-2024,TO TRANSFER-SWIGGY FOOD ORDER,1234567922,420.00,NIL,175147.00
06-04-2024,TO TRANSFER-DMART GROCERY,1234567923,3100.00,NIL,172047.00
08-04-2024,TO TRANSFER-OLA OUTSTATION,1234567924,2500.00,NIL,169547.00
10-04-2024,TO TRANSFER-SPOTIFY INDIA,1234567925,119.00,NIL,169428.00
12-04-2024,TO TRANSFER-SBI HOME LOAN EMI,1234567926,12000.00,NIL,157428.00
15-04-2024,TO TRANSFER-BOOKMYSHOW FILMS,1234567927,750.00,NIL,156678.00
18-04-2024,TO TRANSFER-MAHANAGAR GAS,1234567928,920.00,NIL,155758.00
20-04-2024,TO TRANSFER-RENT APRIL 2024,1234567929,15000.00,NIL,140758.00
22-04-2024,TO TRANSFER-NETMEDS PHARMACY,1234567930,680.00,NIL,140078.00
25-04-2024,BY TRANSFER-FREELANCE INCOME,-,NIL,12000.00,152078.00
28-04-2024,TO TRANSFER-FLIPKART SHOPPING,1234567931,2800.00,NIL,149278.00
30-04-2024,TO TRANSFER-UBER RIDES,1234567932,320.00,NIL,148958.00
01-05-2024,BY TRANSFER-SALARY CREDIT MAY 2024,-,NIL,48500.00,197458.00
04-05-2024,TO TRANSFER-SWIGGY ORDER,1234567933,650.00,NIL,196808.00
07-05-2024,TO TRANSFER-RELIANCE SMART STORE,1234567934,1900.00,NIL,194908.00
10-05-2024,TO TRANSFER-IRCTC SUMMER TRAVEL,1234567935,3200.00,NIL,191708.00
12-05-2024,TO TRANSFER-SBI HOME LOAN EMI,1234567936,12000.00,NIL,179708.00
15-05-2024,TO TRANSFER-NETFLIX INDIA,1234567937,649.00,NIL,179059.00
18-05-2024,ATM-CASH WITHDRAWAL,ATM004,6000.00,NIL,173059.00
20-05-2024,TO TRANSFER-ZOMATO ORDER,1234567938,380.00,NIL,172679.00
22-05-2024,TO TRANSFER-RENT MAY 2024,1234567939,15000.00,NIL,157679.00
25-05-2024,TO TRANSFER-SBI MUTUAL FUND SIP,1234567940,3000.00,NIL,154679.00
28-05-2024,TO TRANSFER-JIO RECHARGE,1234567941,299.00,NIL,154380.00
30-05-2024,TO TRANSFER-UBER,1234567942,210.00,NIL,154170.00
01-06-2024,BY TRANSFER-SALARY CREDIT JUN 2024,-,NIL,48500.00,202670.00
03-06-2024,TO TRANSFER-SWIGGY FOOD,1234567943,490.00,NIL,202180.00
06-06-2024,TO TRANSFER-BIG BAZAAR,1234567944,2200.00,NIL,199980.00
10-06-2024,TO TRANSFER-LIC PREMIUM,1234567945,6500.00,NIL,193480.00
12-06-2024,TO TRANSFER-AMAZON SHOPPING,1234567946,1650.00,NIL,191830.00
14-06-2024,TO TRANSFER-SBI HOME LOAN EMI,1234567947,12000.00,NIL,179830.00
18-06-2024,TO TRANSFER-AIRTEL POSTPAID,1234567948,499.00,NIL,179331.00
20-06-2024,TO TRANSFER-RENT JUNE 2024,1234567949,15000.00,NIL,164331.00
22-06-2024,TO TRANSFER-ZERODHA EQUITY,1234567950,7000.00,NIL,157331.00
25-06-2024,TO TRANSFER-ZOMATO ORDER,1234567951,350.00,NIL,156981.00
28-06-2024,TO TRANSFER-MYNTRA SHOPPING,1234567952,1499.00,NIL,155482.00
30-06-2024,BY TRANSFER-INTEREST CREDIT,-,NIL,380.00,155862.00
